game_id,game_duration,wins,first_blood,first_tower,first_baron,first_dragon,first_inhibitor,dragon_kills,baron_kills,tower_kills,inhibitor_kills,ward_placed,wardkills,kills,death,assist,champion_damage_dealt,total_gold,total_minion_kills,total_level,avg_level,jungle_minion_kills,killing_spree,total_heal,object_damage_dealt
4061759720,1656,0,0,0,0,1,0,4,0,3,0,100,46,17,24,27,52499,50215,632,66,13.2,186,4,24461,40256
4174481671,2352,0,0,0,0,0,0,3,0,3,0,127,35,25,43,48,124953,70338,913,84,16.8,162,5,46363,47944
4111042859,1081,0,1,1,0,0,0,1,0,2,0,37,20,11,21,9,27853,27674,334,45,9.0,69,2,9365,16467
4132014411,681,0,0,0,0,0,0,0,0,1,0,29,0,34,60,39,46813,46340,219,48,9.6,12,9,8968,11377
4211706223,1285,0,0,1,0,0,0,0,0,2,0,0,0,47,54,102,125686,64941,260,90,18.0,0,11,13098,5727
4098984311,1223,1,1,0,0,1,0,3,0,6,0,58,7,71,56,70,146901,93079,443,97,19.4,102,16,16090,79693
4107372931,1031,1,1,0,0,1,0,4,0,9,2,78,1,67,52,82,157112,81705,373,82,16.4,73,16,56060,77127
4068575627,1532,0,0,1,0,0,0,0,0,1,0,66,27,24,42,37,66178,46460,549,61,12.2,80,7,16483,16272
4156131735,1548,0,0,0,0,0,0,0,0,2,0,85,42,18,29,30,58081,42160,536,59,11.8,107,5,21106,13369
3992553890,1938,0,1,0,0,1,0,2,1,1,0,94,47,20,33,45,83031,57444,737,76,15.2,178,5,50593,48164
3974728104,1164,0,0,0,0,1,0,1,0,2,0,35,18,16,24,18,38671,36422,471,55,11.0,83,5,16362,28047
4078537135,1000,0,0,0,0,0,0,0,0,0,0,30,10,6,18,9,28527,25955,382,48,9.6,99,0,12768,12967
4085352923,2058,1,0,1,0,0,1,1,1,10,1,103,46,34,31,57,132154,70427,757,81,16.2,262,7,50817,84121
4078012895,1852,0,0,0,0,0,0,1,0,3,0,104,46,15,26,20,57954,52759,780,71,14.2,160,2,12971,24916
4158229002,741,0,1,0,0,0,0,1,0,0,0,30,5,28,45,29,65722,47612,273,53,10.6,41,5,21594,14487
4159801876,1310,1,1,1,1,1,0,3,1,4,0,63,21,29,18,46,60093,47733,478,62,12.4,176,6,11933,59517
4078012965,1627,0,0,0,0,1,0,4,0,2,0,73,21,27,30,51,87061,47659,546,63,12.6,118,5,21578,37383
4154034753,645,0,1,0,0,0,0,0,0,0,0,0,0,20,30,47,39159,33981,98,55,11.0,0,5,12194,1892
4074867308,1631,1,0,0,0,0,1,0,0,7,2,50,9,30,39,32,94089,52370,485,66,13.2,139,5,57973,24651
4195453556,1334,1,0,1,1,1,1,3,1,10,3,56,18,25,15,34,60701,46916,509,65,13.0,130,7,37973,75072
4205939351,912,1,0,0,0,0,1,0,0,2,1,0,0,46,35,120,88033,52910,185,76,15.2,0,11,16055,5778
4160850605,1355,0,1,0,0,1,0,1,0,1,0,57,22,15,18,19,40333,39033,517,57,11.4,117,3,13744,17366
4147743442,1832,0,1,1,1,0,0,2,1,5,0,72,33,35,33,68,115003,62222,593,72,14.4,136,8,28289,62392
4116810475,1647,0,0,0,0,0,0,0,0,0,0,74,42,13,23,23,58128,41674,592,62,12.4,116,3,23861,5673
4104751881,993,0,0,0,0,1,0,1,0,1,0,41,8,7,24,9,26964,27965,385,47,9.4,74,1,8843,12261
3812199207,1591,1,1,1,0,1,1,3,0,9,1,68,21,32,5,51,83139,55655,643,70,14.0,192,5,43825,50886
4105800494,1318,1,1,1,0,1,1,1,0,11,3,38,12,38,11,53,75285,51758,517,67,13.4,118,7,15045,45541
4107897647,1531,1,0,1,1,1,1,2,1,7,1,77,25,28,11,48,62565,52608,607,70,14.0,153,5,17827,63272
4177627978,2123,0,0,1,0,0,0,1,0,8,1,89,45,49,47,80,146701,70923,636,81,16.2,190,13,45817,75912
